Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - edit,Chrome 115.0.0.0,,,2023-08-22 15:13:24,2023-08-22 15:17:58,4m - 34.102s,FAILED
,,,,,,,
Test Cases/Master Data/Pengguna/Pengguna - edit,Chrome 115.0.0.0,,,2023-08-22 15:13:28,2023-08-22 15:17:58,4m - 29.862s,FAILED
Start listener action : beforeTestCase,Chrome 115.0.0.0,,,2023-08-22 15:13:28,2023-08-22 15:13:28,0.037s,PASSED
handleWebDriver = new care.katalon.HandleWebDriver(),Chrome 115.0.0.0,,,2023-08-22 15:13:29,2023-08-22 15:13:29,0.012s,PASSED
handleWebDriver.startAndOpenWebBrowser(baseUrl),Chrome 115.0.0.0,,,2023-08-22 15:13:29,2023-08-22 15:13:36,7.185s,PASSED
generalAction = new care.katalon.GeneralAction(),Chrome 115.0.0.0,,,2023-08-22 15:13:36,2023-08-22 15:13:36,0.029s,PASSED
handleTestData = new care.katalon.HandleTestData(),Chrome 115.0.0.0,,,2023-08-22 15:13:36,2023-08-22 15:13:36,0.014s,PASSED
pengguna = new masterdata.care.Pengguna(),Chrome 115.0.0.0,,,2023-08-22 15:13:36,2023-08-22 15:13:36,0.015s,PASSED
"generalAction.login("""")",Chrome 115.0.0.0,,,2023-08-22 15:13:36,2023-08-22 15:13:42,6.306s,PASSED
pengguna.menuPengguna(),Chrome 115.0.0.0,,,2023-08-22 15:13:42,2023-08-22 15:13:48,5.421s,PASSED
"excelLocation = ""Master Data\Pengguna\Pengguna - edit.xlsx""",Chrome 115.0.0.0,,,2023-08-22 15:13:48,2023-08-22 15:13:48,0.000s,PASSED
"sheetNamePengguna = ""Pengguna-edit""",Chrome 115.0.0.0,,,2023-08-22 15:13:48,2023-08-22 15:13:48,0.002s,PASSED
"listHashMapEditPengguna = handleTestData.readTestData(excelLocation, sheetNamePengguna, true)",Chrome 115.0.0.0,,,2023-08-22 15:13:48,2023-08-22 15:13:49,1.047s,PASSED
"for ([i = 0, i < listHashMapEditPengguna.size(), (i++)])",Chrome 115.0.0.0,,,2023-08-22 15:13:49,2023-08-22 15:17:49,3m - 59.948s,FAILED
generalAction.logoutAndCloseBrowser(),Chrome 115.0.0.0,,,2023-08-22 15:17:49,2023-08-22 15:17:58,9.070s,PASSED
Start listener action : afterTestCase,Chrome 115.0.0.0,,,2023-08-22 15:17:58,2023-08-22 15:17:58,0.046s,ERROR
