Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Distributor,Chrome 116.0.0.0,,,2023-08-23 14:51:16,2023-08-23 14:59:51,8m - 34.986s,PASSED
,,,,,,,
Test Cases/Master Data/Data Customer/Data Customer - Add,Chrome 116.0.0.0,,,2023-08-23 14:51:19,2023-08-23 14:56:40,5m - 21.263s,PASSED
Start listener action : beforeTestCase,Chrome 116.0.0.0,,,2023-08-23 14:51:19,2023-08-23 14:51:19,0.017s,PASSED
handleWebDriver = new care.katalon.HandleWebDriver(),Chrome 116.0.0.0,,,2023-08-23 14:51:19,2023-08-23 14:51:19,0.003s,PASSED
handleWebDriver.startAndOpenWebBrowser(baseUrl),Chrome 116.0.0.0,,,2023-08-23 14:51:19,2023-08-23 14:51:25,5.989s,PASSED
generalAction = new care.katalon.GeneralAction(),Chrome 116.0.0.0,,,2023-08-23 14:51:25,2023-08-23 14:51:25,0.018s,PASSED
handleTestData = new care.katalon.HandleTestData(),Chrome 116.0.0.0,,,2023-08-23 14:51:25,2023-08-23 14:51:26,0.005s,PASSED
dataCustomer = new masterdata.care.DataCustomer(),Chrome 116.0.0.0,,,2023-08-23 14:51:26,2023-08-23 14:51:26,0.006s,PASSED
"generalAction.login("""")",Chrome 116.0.0.0,,,2023-08-23 14:51:26,2023-08-23 14:51:32,6.127s,PASSED
dataCustomer.menuDataCustomer(),Chrome 116.0.0.0,,,2023-08-23 14:51:32,2023-08-23 14:51:38,6.403s,PASSED
"excelLocation = ""Master Data\Data Customer\dataCustomer - add.xlsx""",Chrome 116.0.0.0,,,2023-08-23 14:51:38,2023-08-23 14:51:38,0.002s,PASSED
"sheetNameDataCustomer = ""DataCustomer""",Chrome 116.0.0.0,,,2023-08-23 14:51:38,2023-08-23 14:51:38,0.001s,PASSED
"listHashMapDataCustomer = handleTestData.readTestData(excelLocation, sheetNameDataCustomer, true)",Chrome 116.0.0.0,,,2023-08-23 14:51:38,2023-08-23 14:51:39,0.836s,PASSED
"namaCustomer = """"",Chrome 116.0.0.0,,,2023-08-23 14:51:39,2023-08-23 14:51:39,0.001s,PASSED
"for ([i = 0, i < listHashMapDataCustomer.size(), (i++)])",Chrome 116.0.0.0,,,2023-08-23 14:51:39,2023-08-23 14:56:31,4m - 52.550s,PASSED
generalAction.logoutAndCloseBrowser(),Chrome 116.0.0.0,,,2023-08-23 14:56:31,2023-08-23 14:56:40,8.742s,PASSED
Start listener action : afterTestCase,Chrome 116.0.0.0,,,2023-08-23 14:56:40,2023-08-23 14:56:40,0.165s,PASSED
,,,,,,,
