Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User,Chrome 116.0.0.0,,,2023-08-24 11:16:28,2023-08-24 11:17:14,45.222s,PASSED
,,,,,,,
Test Cases/Master Data/Pengguna/Pengguna - view,Chrome 116.0.0.0,,,2023-08-24 11:16:31,2023-08-24 11:17:14,42.360s,PASSED
Start listener action : beforeTestCase,Chrome 116.0.0.0,,,2023-08-24 11:16:31,2023-08-24 11:16:31,0.021s,PASSED
handleWebDriver = new care.katalon.HandleWebDriver(),Chrome 116.0.0.0,,,2023-08-24 11:16:32,2023-08-24 11:16:32,0.006s,PASSED
handleWebDriver.startAndOpenWebBrowser(baseUrl),Chrome 116.0.0.0,,,2023-08-24 11:16:32,2023-08-24 11:16:35,3.377s,PASSED
generalAction = new care.katalon.GeneralAction(),Chrome 116.0.0.0,,,2023-08-24 11:16:35,2023-08-24 11:16:35,0.013s,PASSED
handleTestData = new care.katalon.HandleTestData(),Chrome 116.0.0.0,,,2023-08-24 11:16:35,2023-08-24 11:16:35,0.006s,PASSED
pengguna = new masterdata.care.Pengguna(),Chrome 116.0.0.0,,,2023-08-24 11:16:35,2023-08-24 11:16:35,0.008s,PASSED
"generalAction.login("""")",Chrome 116.0.0.0,,,2023-08-24 11:16:35,2023-08-24 11:16:41,5.380s,PASSED
pengguna.menuPengguna(),Chrome 116.0.0.0,,,2023-08-24 11:16:41,2023-08-24 11:16:45,4.882s,PASSED
"excelLocation = ""Master Data\Pengguna\Pengguna - view.xlsx""",Chrome 116.0.0.0,,,2023-08-24 11:16:45,2023-08-24 11:16:45,0.000s,PASSED
"sheetNamePengguna = ""Pengguna-view""",Chrome 116.0.0.0,,,2023-08-24 11:16:45,2023-08-24 11:16:45,0.001s,PASSED
"listHashMapViewPengguna = handleTestData.readTestData(excelLocation, sheetNamePengguna, true)",Chrome 116.0.0.0,,,2023-08-24 11:16:45,2023-08-24 11:16:46,0.512s,PASSED
"for ([i = 0, i < listHashMapViewPengguna.size(), (i++)])",Chrome 116.0.0.0,,,2023-08-24 11:16:46,2023-08-24 11:17:14,27.723s,PASSED
Start listener action : afterTestCase,Chrome 116.0.0.0,,,2023-08-24 11:17:14,2023-08-24 11:17:14,0.021s,ERROR
